card_id,card_id_aa,name_eng,name_jap,AA,rarity,level,shop,p_20201219,p_20201226,p_20210104,p_20210109,p_20210116,p_20210124,p_20210130,p_20210206,p_20210214,p_20210221,p_20210225,p_20210227,p_20210307
BT1-001,BT1-001,Yokomon,ピョコモン,False,R,2,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-001,BT1-001,Yokomon,ピョコモン,False,R,2,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-002,BT1-002,Babydmon,ベビドモン,False,U,2,bigweb,90.0,90.0,90.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90,90
BT1-002,BT1-002,Babydmon,ベビドモン,False,U,2,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-003,BT1-003,Upamon,ウパモン,False,R,2,bigweb,220.0,220.0,200.0,0.0,0.0,200.0,0.0,230.0,230.0,250.0,250.0,250,250
BT1-003,BT1-003,Upamon,ウパモン,False,R,2,yuyutei,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300,300
BT1-004,BT1-004,Wanyamon,ワニャモン,False,U,2,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-004,BT1-004,Wanyamon,ワニャモン,False,U,2,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-005,BT1-005,Kyaromon,キャロモン,False,U,2,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-005,BT1-005,Kyaromon,キャロモン,False,U,2,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-006,BT1-006,Kyupimon,キュピモン,False,R,2,bigweb,150.0,150.0,150.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150
BT1-006,BT1-006,Kyupimon,キュピモン,False,R,2,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,100.0,0.0,100,100
BT1-007,BT1-007,Tanemon,タネモン,False,R,2,bigweb,120.0,120.0,150.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150
BT1-007,BT1-007,Tanemon,タネモン,False,R,2,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,100.0,0.0,100,100
BT1-008,BT1-008,Frimon,フリモン,False,U,2,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-008,BT1-008,Frimon,フリモン,False,U,2,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-009,BT1-009,Monodramon,モノドラモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,50
BT1-009,BT1-009,Monodramon,モノドラモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-010,BT1-010,Agumon,アグモン,False,R,3,bigweb,150.0,150.0,150.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,180.0,180,300
BT1-010,BT1-010B,Agumon,アグモン,True,R,3,bigweb,0.0,1380.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0,2500
BT1-010,BT1-010,Agumon,アグモン,False,R,3,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200,300
